,index,filepath,time,speed
0,6990,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06991.jpg,349.5,16.073533
0,6991,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06992.jpg,349.55,16.119812
0,15582,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15583.jpg,779.1,1.035706
0,15583,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15584.jpg,779.15,1.035838
0,11836,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images11837.jpg,591.8,8.161627
0,11837,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images11838.jpg,591.85,8.126405
0,2999,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03000.jpg,149.95,21.667426
0,3000,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03001.jpg,150.0,21.658468
0,4608,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images04609.jpg,230.4,21.614545
0,4609,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images04610.jpg,230.45,21.583149
0,15925,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15926.jpg,796.25,0.880467
0,15926,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15927.jpg,796.3,0.823837
0,916,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00917.jpg,45.8,19.538367
0,917,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00918.jpg,45.85,19.489541
0,17867,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images17868.jpg,893.35,1.128012
0,17868,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images17869.jpg,893.4,1.117987
0,12558,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images12559.jpg,627.9,10.712005
0,12559,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images12560.jpg,627.95,10.67811
0,1498,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images01499.jpg,74.9,15.861144
0,1499,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images01500.jpg,74.95,15.856355
0,19151,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images19152.jpg,957.55,9.738037
0,19152,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images19153.jpg,957.6,9.714844
0,15819,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15820.jpg,790.95,0.0
0,15820,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15821.jpg,791.0,0.0
0,2422,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images02423.jpg,121.1,24.290262
0,2423,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images02424.jpg,121.15,24.284528
0,6785,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06786.jpg,339.25,16.01989
0,6786,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06787.jpg,339.3,15.907139
0,8167,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images08168.jpg,408.35,25.974918
0,8168,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images08169.jpg,408.4,25.893858
0,331,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00332.jpg,16.55,17.895649
0,332,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00333.jpg,16.6,17.904253
0,20212,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images20213.jpg,1010.6,7.083975
0,20213,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images20214.jpg,1010.65,7.094271
0,1927,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images01928.jpg,96.35,24.601568
0,1928,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images01929.jpg,96.4,24.797408
0,13561,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images13562.jpg,678.05,0.0
0,13562,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images13563.jpg,678.1,0.0
0,11920,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images11921.jpg,596.0,7.518755
0,11921,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images11922.jpg,596.05,7.521033
0,12206,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images12207.jpg,610.3,6.021527
0,12207,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images12208.jpg,610.35,5.972496
0,10415,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images10416.jpg,520.75,7.480823
0,10416,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images10417.jpg,520.8,7.50109
0,17619,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images17620.jpg,880.95,14.052092
0,17620,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images17621.jpg,881.0,14.062577
0,16303,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images16304.jpg,815.15,10.42755
0,16304,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images16305.jpg,815.2,10.360746
0,19689,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images19690.jpg,984.45,1.847672
0,19690,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images19691.jpg,984.5,1.812737
0,9371,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09372.jpg,468.55,0.0
0,9372,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09373.jpg,468.6,0.0
0,3212,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03213.jpg,160.6,21.630183
0,3213,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03214.jpg,160.65,21.636448
0,12218,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images12219.jpg,610.9,5.366376
0,12219,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images12220.jpg,610.95,5.265568
0,3743,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03744.jpg,187.15,21.686601
0,3744,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03745.jpg,187.2,21.661121
0,4139,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images04140.jpg,206.95,21.38663
0,4140,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images04141.jpg,207.0,21.35686
0,9750,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09751.jpg,487.5,7.286671
0,9751,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09752.jpg,487.55,7.281416
0,6244,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06245.jpg,312.2,12.090763
0,6245,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06246.jpg,312.25,12.09705
0,776,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00777.jpg,38.8,22.028198
0,777,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images00778.jpg,38.85,22.06463
0,6961,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06962.jpg,348.05,14.988411
0,6962,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06963.jpg,348.1,15.025029
0,3828,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03829.jpg,191.4,21.499849
0,3829,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03830.jpg,191.45,21.509462
0,7062,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images07063.jpg,353.1,18.025121
0,7063,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images07064.jpg,353.15,18.056434
0,15172,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15173.jpg,758.6,12.102223
0,15173,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15174.jpg,758.65,12.126713
0,6378,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06379.jpg,318.9,13.86022
0,6379,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06380.jpg,318.95,13.925955
0,13001,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images13002.jpg,650.05,6.345145
0,13002,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images13003.jpg,650.1,6.391902
0,10208,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images10209.jpg,510.4,6.709367
0,10209,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images10210.jpg,510.45,6.691747
0,16303,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images16304.jpg,815.15,10.42755
0,16304,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images16305.jpg,815.2,10.360746
0,9451,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09452.jpg,472.55,4.549993
0,9452,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09453.jpg,472.6,4.690757
0,5823,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images05824.jpg,291.15,19.039822
0,5824,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images05825.jpg,291.2,19.051032
0,15454,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15455.jpg,772.7,2.509575
0,15455,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images15456.jpg,772.75,2.503647
0,9156,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09157.jpg,457.8,11.69371
0,9157,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images09158.jpg,457.85,11.71845
0,3536,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03537.jpg,176.8,22.308964
0,3537,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images03538.jpg,176.85,22.331766
0,4435,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images04436.jpg,221.75,21.806263
0,4436,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images04437.jpg,221.8,21.820057
0,6454,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06455.jpg,322.7,14.106094
0,6455,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images06456.jpg,322.75,14.106615
0,5874,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images05875.jpg,293.7,17.739511
0,5875,/Users/chitrang/Desktop/speed_challenge_2017/data/training_data/images05876.jpg,293.75,17.756187
